year,duration,NAR,block,treat,FDis
2020,3,3,3,2,1.41
2020,3,6,3,1,0.22
2020,3,4,3,2,1.06
2020,3,7,3,3,1.25
2020,3,2,3,3,1.83
2020,3,6,3,3,0.73
2020,3,0,4,2,2.6
2020,3,3,4,1,1.93
2020,3,6,4,2,0.48
2020,3,6,4,3,0.42
2020,3,0,4,1,1.53
2020,3,3,4,3,2.44
2020,3,5,4,3,0.69
2020,3,4,4,2,0.85
2020,3,8,4,3,0.65
2020,3,6,4,1,0.02
2020,3,5,4,1,0.57
2020,3,7,4,2,1.19
2020,3,4,4,1,2.08
2020,3,3,4,2,2.37
2020,3,4,4,3,0.87
2020,3,2,4,3,0.65
2020,3,7,4,3,1.3
2020,3,5,4,2,1.39
2020,3,2,4,1,2.21
2020,3,2,4,2,2.05
2020,3,7,4,1,1.36
2020,3,5,5,1,0.81
2020,3,4,5,2,0.18
2020,3,2,5,2,1.33
2020,3,0,5,2,2.9
2020,3,0,5,1,0.81
2020,3,3,5,3,0.82
2020,3,4,5,1,1.32
2020,3,7,5,1,0.95
2020,3,7,5,3,0.36
2020,3,8,5,3,0.16
2020,3,2,5,3,1.26
2020,3,4,5,3,0.79
2020,3,3,5,1,2.09
2020,3,6,5,3,1.35
2020,3,2,5,1,1.33
2020,3,6,5,1,1.29
2020,3,5,5,2,1.08
2020,3,7,5,2,0.79
2020,3,5,5,3,1.2
2020,3,6,5,2,2.42
2020,3,3,5,2,2.36
